Plate,Well,Buffer,Temperature,Time_Factor,Time_Cont,Extraction,Technical_rep,PCR_rep,qs_conc_pg/mL,qs_conc_adjusted,Eamc_sample,Cq_sample,No_standard,Eamc_standard,Cq_standard,No_sample_ng/ul,No_sample_pg/mL
1 eDNA Pres I,B8,Ethanol,4,2 weeks,2,Kit,1,1,56766.62922,56766.62922,1.781,27.421,1.14,1.819,22.686,0.119940174,119940.1739
1 eDNA Pres I,B9,Ethanol,4,2 weeks,2,Kit,1,2,57345.31581,57345.31581,1.805,27.396,1.14,1.819,22.686,0.083592719,83592.71928
1 eDNA Pres I,B10,Ethanol,4,2 weeks,2,Kit,1,3,51813.0213,51813.0213,1.827,27.594,1.14,1.819,22.686,0.053990349,53990.34858
1 eDNA Pres I,B11,Ethanol,4,2 weeks,2,Kit,1,4,61434.15719,61434.15719,1.836,27.343,1.14,1.819,22.686,0.054247826,54247.82553
1 eDNA Pres I,B12,Ethanol,4,2 weeks,2,Kit,1,5,58878.13866,58878.13866,1.826,27.455,1.14,1.819,22.686,0.058726675,58726.67487
1 eDNA Pres I,C7,Ethanol,4,2 weeks,2,Kit,1,6,62035.22533,62035.22533,1.803,27.285,1.14,1.819,22.686,0.092897378,92897.37782
1 eDNA Pres I,C8,Ethanol,4,2 weeks,2,Kit,1,7,55946.0111,55946.0111,1.812,27.485,1.14,1.819,22.686,0.07136643,71366.43017
1 eDNA Pres I,C9,Ethanol,4,2 weeks,2,Kit,1,8,51878.1282,51878.1282,1.809,27.596,1.14,1.819,22.686,0.069990356,69990.35635
1 eDNA Pres I,C10,Ethanol,4,2 weeks,2,Kit,1,9,56928.91777,56928.91777,1.808,27.45,1.14,1.819,22.686,0.07746458,77464.58017
1 eDNA Pres I,G2,Ethanol,4,2 weeks,2,Kit,2,1,23655.87465,23655.87465,1.768,28.886,1.14,1.819,22.686,0.06359116,63591.16002
1 eDNA Pres I,G3,Ethanol,4,2 weeks,2,Kit,2,2,23605.6298,23605.6298,1.768,28.876,1.14,1.819,22.686,0.063963328,63963.32784
